 ;Hombres;Mujeres;ZONA;DIA;HORARIO;LUGAR VOTACION
San Martín de Valvení;45;36;ESTE;10/09/2021;09:45 - 10:45;Pza. Mayor, s/n
San Miguel del Arroyo;349;310;SUR;09/09/2021;11:00 - 12:30;Pza. Mayor
San Miguel del Arroyo (SANTIAGO DEL ARROYO);;;SUR;09/09/2021;09:45 - 10:45;Pza. Mayor
San Miguel del Pino;175;169;NORTE;10/09/2021;13:00 - 14:00;Pza. Mayor
San Pablo de la Moraleja;63;49;SUR;10/09/2021;13:45 - 14:45;Pza. Mayor
San Pedro de Latarce;257;219;NORTE;03/09/2021;16:30 - 17:30;Pza. Santiago Alba
San Pelayo;26;24;NORTE;09/09/2021;12:15 - 12:45;Pza. Constitución
San Román de Hornija;145;162;NORTE;10/09/2021;09:45 - 10:45;Pza. Constitución
San Salvador;15;10;NORTE;14/09/2021;11:15 - 12:15;Pza. del Castillo, s/n
Santa Eufemia del Arroyo;40;32;NORTE;10/09/2021;16:30 - 17:30;Pza. Mayor
Santervás de Campos;61;52;NORTE;02/09/2021;12:00 - 13:00;Pza. Ponce de León
Santibáñez de Valcorba;97;71;ESTE;07/09/2021;16:30 - 17:30;C/ Real, 31
Santovenia de Pisuerga;2.360;2.244;ESTE;04/09/2021;10:30 - 14:30;Pza. España, 1
Sardón de Duero;309;270;ESTE;06/09/2021;17:00 - 19:00;Pza. Mayor, 1
Seca, La;546;513;SUR;10/09/2021;16:30 - 19:30;Pza. España
Serrada;574;529;SUR;02/09/2021;16:30 - 19:30;Pza. Mayor
Siete Iglesias de Trabancos;234;197;SUR;01/09/2021;11:45 - 12:45;Pza. Mayor
Simancas;2.672;2.595;NORTE;06/09/ Y 13/09/2021;10:30 - 15:00 y 16:30 - 20:00;Pza. del Ayuntamiento y C/ Miravete (explanada del archivo junto a oficina de turismo)
Tamariz de Campos;43;30;NORTE;15/09/2021;09:30 - 10:30;Pza. de San Pedro
Tiedra;139;148;NORTE;13/09/2021;12:30 - 13:30;Pza. Mayor
Tordehumos;218;193;NORTE;04/09/2021;13:30 - 14:30;Pza. Mayor
"Tordesillas
Pza. Pepe Zorita (Foraño)";4.412;4.333;NORTE;07/09 Y 12/09/2021;10:30 - 15:00 y 16:30 - 20:00;Pza. Pepe Zorita (Foraño)
Tordesillas Pza. Mayor;;;NORTE;07/09 Y 12/09/2022;12:00 - 15:00 y 16:30 - 20:00;Pza. Mayor
Tordesillas VILLAMARCIEL;;;NORTE;07/09/2021;10:30 - 11:30;Pza. Mayor
Tordesillas VILLAVIEJA DEL CERRO;;;NORTE;12/09/2021;10:30 - 11:30;C/ Corro Iglesia (parada autobús)
Torrecilla de la Abadesa;133;143;NORTE;10/09/2021;11:15 - 12:15;Pza. Mayor
Torrecilla de la Orden;123;125;SUR;15/09/2021;10:15 - 11:15;Pza. Mayor
Torrecilla de la Torre;23;13;NORTE;09/09/2021;10:45 - 11:15;C/ La Iglesia, 4
Torre de Esgueva;34;31;ESTE;06/09/2021;11:00 - 12:00;Pza. Mayor, 1
Torre de Peñafiel;29;19;ESTE;13/09/2021;11:00 - 12:00;C/ Real, 1
Torrelobatón;211;189;NORTE;14/09/2021;12:45 - 13:45;Pza. Mayor, 1
Torrescárcela;83;76;ESTE;15/09/2021;11:00 - 12:00;Pza. España, s/n
Torrescárcela (ALDEALBAR);;;ESTE;15/09/2021;12:15 - 13:00;Pza. Mayor
Traspinedo;589;522;ESTE;07/09/2021;10:30 - 13:30;Pza. Mayor, 1
Trigueros del Valle;167;137;NORTE;02/09/2021;11:15 - 12:15;Pza. Mayor
Tudela de Duero;4.381;4.239;ESTE;11/09 y 12/09;10:30 - 15:00 y 16:30 - 20:00;Pza. España y Pza. Alcalde Pablo Arranz (Pza. Goya)
Tudela de Duero (HERRERA DE DUERO);;;ESTE;12/09/2021;10:30 - 12:30;Avda. de la Constitución, 1
Unión de Campos, La;119;111;NORTE;07/09/2021;13:30 - 14:30;Pza. Mayor
Urones de Castroponce;66;44;NORTE;09/09/2021;13:30 - 14:30;Pza. del Consistorio
Urueña;106;83;NORTE;11/09/2021;19:30 - 20:30;Pza. Mayor
Valbuena de Duero;;;ESTE;02/09/2021;12:00 - 13:00;Pza. Mayor
Valbuena de Duero (SAN BERNARDO);254;208;ESTE;02/09/2021;10:30 - 11:30;Pza. Mayor
Valdearcos de la Vega;30;25;ESTE;01/09/2021;12:15 - 13:15;Pza. de la Virgen de la Zarzuela, 1
Valdenebro de los Valles;105;94;NORTE;03/09/2021;10:30 - 11:30;Pza. Mayor
Valdestillas;845;787;SUR;10/09/2021;16:30 - 19:30;Pza. Mayor
Valdunquillo;69;75;NORTE;07/09/2021;12:15 - 13:15;Pza. del Doctor Bárcena
Valoria la Buena;342;288;ESTE;04/09/2021;17:00 - 19:00;
Vega de Ruiponce;55;34;NORTE;02/09/2021;13:15 - 14:15;C/ Mayor, 31
Vega de Valdetronco;64;54;NORTE;15/09/2021;12:15 - 13:15;Pza. Cruz de Hierro, 1
47189 Velascálvaro;92;73;SUR;13/09/2021;10:00 - 11:00;Pza. Castilla
Velilla;57;57;NORTE;03/09/2021;12:15 - 13:15;C/ La Iglesia, 3
Velliza;74;38;NORTE;06/09/2021;14:00 - 15:00;Pza. Mayor
Ventosa de la Cuesta;57;39;SUR;10/09/2021;10:30 - 11:30;Pza. Gamazo
Viana de Cega;1.071;991;SUR;02/09/2021;16:30 - 19:30;Pza. Mayor
Viloria;178;161;ESTE;15/09/2021;13:00 - 14:00;C/ La Torre, 5
 Villabáñez;272;217;ESTE;07/09/2021;13:30 - 14:30;C/ Hilario Vidarte, s/n
Villabaruz de Campos;14;16;NORTE;15/09/2021;10:45 - 11:45;Pza. Marqués de Estella
Villabrágima;553;500;NORTE;03/09/2021;10:30 - 13:30;C/ Nueva del Palacio, 5
Villacarralón;45;29;NORTE;02/09/2021;10:45 - 11:45;Pza. Mayor
Villacid de Campos;45;27;NORTE;09/09/2021;09:30 - 10:30;Pza. V Centenario
Villaco;49;25;ESTE;06/09/2021;13:30 - 14:30;C/ Huertos, s/n
47203 Villafrades de Campos;33;29;NORTE;15/09/2021;13:15 - 14:15;C/ Las Escuelas, 6
Villafranca de Duero;137;130;SUR;01/09/2021;10:15 - 11:15;Pza. de Castilla y León
Villafrechós;263;217;NORTE;10/09/2021;18:00 - 19:00;C/ Alejandro Nájera, 26
Villafuerte;47;38;ESTE;07/09/2021;09:45 - 10:45;Pza. de la Torre, s/n
Villagarcía de Campos;179;121;NORTE;11/09/2021;18:00 - 19:00;C/ Juan de Austria, 21
Villagómez la Nueva;34;30;NORTE;03/09/2021;09:30 - 10:30;Pza. Mayor
Villalán de Campos;20;12;NORTE;10/09/2021;12:15 - 13:15;Pza. Mayor
Villalar de los Comuneros;225;243;NORTE;15/09/2021;09:45 - 10:45;Pza. España, 1
Villalba de la Loma;26;24;NORTE;03/09/2021;12:00 - 13:00;Pza. Mayor
Villalba de los Alcores;200;168;NORTE;03/09/2021;18:00 - 19:00;C/ Mayor, 4
Villalbarba;55;60;NORTE;07/09/2021;12:45 - 13:45;Pza. Pérez Andújar
Villalón de Campos;776;785;NORTE;11/09/2021;10:30 - 13:30;Pza. Rollo
Villamuriel de Campos;25;24;NORTE;13/09/2021;11:00 - 12:00;Pza. Mayor
Villán de Tordesillas;67;50;NORTE;06/09/2021;12:15 - 13:15;Pza. Mayor
Villanubla;1.420;1.349;NORTE;09/09/2021;10:30 - 14:30;Pza. Mayor
Villanueva de Duero;623;566;SUR;02/09/2021;10:30 - 13:30;Pza. Mayor
 Villanueva de la Condesa;29;27;NORTE;06/09/2021;12:30 - 13:30;Pza. Hipólito Cabreros
Villanueva de los Caballeros;94;86;NORTE;11/09/2021;16:30 - 17:30;Pza. Consistorial
Villanueva de los Infantes;59;40;ESTE;09/09/2021;13:30 - 14:30;Pza. Mayor, 3
Villanueva de San Mancio;45;37;NORTE;14/09/2021;11:15 - 12:15;Pza. Mayor
Villardefrades;90;72;NORTE;03/09/2021;18:00 - 19:00;C/ Portugalete, s/n
Villarmentero de Esgueva;58;48;ESTE;10/09/2021;12:15 - 13:15;C/ Consistorio, s/n
Villasexmir;42;30;NORTE;14/09/2021;09:45 - 10:45;Pza. Mayor
 Villavaquerín;89;72;ESTE;07/09/2021;12:15 - 13:15;Pza. de los Héroes, 1
Villavellid;32;18;NORTE;13/09/2021;09:45 - 10:45;Pza. Mayor
Villaverde de Medina;278;235;SUR;15/09/2021;13:15 - 14:45;Pza. de la Concordia, 1
Villavicencio de los Caballeros;116;117;NORTE;10/09/2021;13:30 - 14:30;Pza. Mayor
Wamba;167;143;NORTE;01/09/2021;09:30 - 10:30;Pza. Mayor
Zaratán;3.193;3.042;NORTE;02/09 Y 05/09/2021;10:30 - 15:00 y 16:30 - 20:00;Pza  Ayuntamiento (Pza. de las Herrerías) y Pza. Mayor
Zarza, La;60;50;SUR;06/09/2021;13:30 - 14:30;Pza. Mayor
